WARNING|STATIC_WARNING|UNUSED_IMPORT|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|3|8|11|Unused import: 'dart:math'.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|57|48|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|71|48|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|166|30|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|242|40|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|244|48|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|260|44|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|270|30|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|324|39|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|340|31|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|D:\\edupulseAi\\lib\\features\\memory_bank\\presentation\\memory_bank_screen.dart|341|31|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
